dates,region,department,commune,Idps,MenaeIdp,IdpReturn,MenaeReturnIdp,ReturnEtrangerMenages,ReturnEtrangerIndividus,autochtone,autochtoneMenages,RessortissantsPaysTiersMenage,RessortissantsPaysTiersIndi,RefugeesMenages,RefugeesIndi
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,30,6,1050,150,0,1050,0,0,0,0,0,0
2022-05-31,Diffa,Bosso,Bosso,0,0,525,75,30,525,0,0,30,210,300,1200
2022-05-31,Diffa,Diffa,Diffa,816,180,0,0,200,0,560,560,0,0,300,1200
2022-05-31,Diffa,Diffa,Diffa,1083,240,0,0,50,0,280,280,0,0,50,200
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,84,18,0,0,6,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Chetimari,1636,364,0,0,10,0,0,0,0,0,30,120
2022-05-31,Diffa,Diffa,Chetimari,316,69,0,0,30,0,0,0,0,0,25,100
2022-05-31,Diffa,Bosso,Toumour,12149,2700,7000,1000,40,7000,7000,7000,30,210,1500,6000
2022-05-31,Diffa,Bosso,Bosso,947,210,0,0,50,0,0,0,15,105,70,280
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,376,84,0,0,5,0,0,0,0,0,3,12
2022-05-31,Diffa,Diffa,Gueskerou,65,13,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,408,90,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,1080,240,0,0,300,0,0,0,0,0,300,1200
2022-05-31,Diffa,Diffa,Diffa,302,66,21,3,0,21,0,0,0,0,7,28
2022-05-31,Diffa,Diffa,Gueskerou,269,60,140,20,0,140,0,0,0,0,180,720
2022-05-31,Diffa,N'Guigmi,Nguigmi,3242,720,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Nguigmi,1618,360,0,0,0,0,0,0,0,0,136,544
2022-05-31,Diffa,N'Guigmi,Nguigmi,1625,360,2100,300,0,2100,0,0,0,0,600,2400
2022-05-31,Diffa,N'Guigmi,Kabalewa,925,206,0,0,0,0,0,0,0,0,0,0
