dates,region,department,commune,IdpsInd,IdpReturn,ReturnFromOutsideBorder,Refugees,RessortissantPaysTiers
2022-05-30,Tahoua,Madaoua,Bangui,0,0,0,196,0
2022-05-30,Tahoua,Madaoua,Bangui,0,105,105,0,0
2022-05-30,Tahoua,Madaoua,Bangui,0,0,0,175,0
2022-05-30,Tahoua,Madaoua,Bangui,150,0,0,280,0
2022-05-30,Tahoua,Madaoua,Bangui,210,0,0,420,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,420,0,0,0,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,525,0,0,0,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,308,0,0,0,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,0,0,0,107,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,0,0,0,63,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,0,0,0,47,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,161,0,0,0,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,0,0,0,105,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,280,0,0,0,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,0,0,0,14,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,1470,0,0,0,0
2022-05-30,Tahoua,Madaoua,Bangui,175,0,0,91,0
2022-05-30,Tahoua,Madaoua,Bangui,1750,105,105,630,35
2022-05-30,Tillabéri,Ouallam,Tondikiwindi,11747,0,0,0,0
2022-05-30,Tillabéri,Ouallam,Tondikiwindi,614,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Dessa,470,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Dessa,20467,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Dessa,1003,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Dessa,1275,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Dessa,354,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Sakoira,413,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Sakoira,732,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Tillaberi,1075,0,0,0,0
2022-05-30,Tillabéri,Téra,Tera,2420,0,0,0,0
2022-05-30,Tillabéri,Téra,Tera,1096,0,0,0,0
2022-05-30,Tillabéri,Téra,Tera,1024,0,0,0,0
2022-05-30,Tillabéri,Téra,Diagorou,1848,0,0,0,0
2022-05-30,Tillabéri,Téra,Tera,876,0,0,0,0
2022-05-30,Tillabéri,Téra,Tera,900,0,0,0,0
2022-05-30,Tillabéri,Téra,Tera,886,0,0,0,0
2022-05-30,Tillabéri,Téra,Tera,499,0,0,0,0
2022-05-30,Tillabéri,Téra,Tera,307,192,192,0,0
2022-05-30,Tillabéri,Ayerou,Ayorou,825,0,0,0,0
2022-05-30,Tillabéri,Ouallam,Tondikiwindi,413,0,0,0,0
2022-05-30,Tillabéri,Banibangou,Banibangou,187,0,0,0,0
2022-05-30,Tillabéri,Banibangou,Banibangou,517,0,0,0,0
2022-05-30,Tillabéri,Banibangou,Banibangou,1590,0,0,0,0
2022-05-30,Tillabéri,Ayerou,Ayorou,8888,0,0,0,0
2022-05-30,Tillabéri,Ayerou,Ayorou,3773,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Sakoira,2475,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Tillaberi,556,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Dessa,732,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Dessa,1100,0,0,0,0
2022-05-30,Tillabéri,Tillabéri,Sakoira,902,0,0,0,0
2022-05-30,Tillabéri,Bankilaré,Bankilare,1149,0,0,136,0
2022-05-30,Tillabéri,Bankilaré,Bankilare,121,0,0,377,0
2022-05-30,Tillabéri,Ouallam,Ouallam,7321,0,0,0,0
2022-05-30,Tillabéri,Gothèye,Gotheye,1067,0,0,0,0
2022-05-30,Tillabéri,Banibangou,Banibangou,347,0,0,0,0
2022-05-30,Tillabéri,Banibangou,Banibangou,2750,0,0,0,0
2022-05-30,Tillabéri,Banibangou,Banibangou,5781,0,0,0,0
2022-05-30,Tillabéri,Gothèye,Gotheye,165,0,0,0,0
2022-05-30,Tillabéri,Balleyara,Tagazar,985,1372,1372,0,0
2022-05-30,Tillabéri,Balleyara,Tagazar,715,0,0,0,0
2022-05-30,Tillabéri,Balleyara,Tagazar,913,0,0,70,0
2022-05-30,Tillabéri,Balleyara,Tagazar,440,0,0,0,0
2022-05-30,Tillabéri,Balleyara,Tagazar,369,0,0,0,0
2022-05-30,Tillabéri,Balleyara,Tagazar,605,0,0,0,0
2022-05-30,Tillabéri,Balleyara,Tagazar,215,0,0,0,0
2022-05-30,Tillabéri,Balleyara,Tagazar,314,0,0,0,0
2022-05-30,Tillabéri,Torodi,Makalondi,708,0,0,0,0
2022-05-30,Tillabéri,Torodi,Torodi,1155,1148,1148,0,56
2022-05-30,Tillabéri,Torodi,Makalondi,118,91,91,0,0
